번호,요구사항ID,대상,채널,대분류,세부기능,기능명,기능 설명,A/B 통합,우선순위,구현단계,수용기준,예외/비고,원본참조
90,S-090,시스템,전체,보안,입력검증,SQL Injection 방지,MyBatis 파라미터 바인딩을 사용하고 문자열 직접 결합 쿼리를 금지한다.,A: 검색 조건 / B: 관리자 입력,P0,1차,사용자 입력값이 SQL 문법으로 실행되지 않는다.,"#{ } 사용, ${ } 최소화",추가
91,S-091,시스템,전체,보안,입력검증,XSS 방지,"배너, 문의, 메뉴 설명 등 사용자가 입력한 HTML/스크립트가 실행되지 않게 처리한다.",A: 화면 출력 이스케이프 / B: 관리자 입력 정화,P1,2차,스크립트 태그를 입력해도 고객 화면에서 실행되지 않는다.,관리자 콘텐츠도 예외 아님,추가
92,S-092,시스템,전체,보안,파일,파일 업로드 보안,"메뉴 이미지, 배너 이미지 업로드 시 확장자, MIME 타입, 용량, 저장경로를 검증한다.",A: 이미지 업로드 / B: 파일 차단,P1,2차,허용되지 않은 확장자와 대용량 파일은 업로드되지 않는다.,실행 파일 업로드 금지,추가
93,S-093,시스템,전체,보안,결제,결제 위변조 방지,"결제 승인금액, 주문금액, 결제 토큰, webhook 서명을 검증한다.",A: 승인 검증 / B: webhook 검증,P0,1차,프론트에서 조작한 금액으로 결제가 완료되지 않는다.,결제 API 핵심 보안,추가
94,S-094,시스템,전체,로그,감사,감사 로그 기록,"언제, 어디서, 누가, 어떻게, 왜, 무엇을 했는지 관리자 주요 행위와 결제 행위를 기록한다.",A: 관리자 로그 / B: 주문·결제 로그,P0,1차,"로그에는 시간, IP/경로, 사용자ID, 행위, 결과, 실패 사유가 저장된다.",A09 로그처리 기준,추가
95,S-095,시스템,전체,로그,오류,예외 처리/오류 응답 표준화,서버 오류를 사용자에게 그대로 노출하지 않고 표준 오류코드와 메시지로 응답한다.,A: 사용자 오류 / B: 서버 오류,P0,1차,"예외 발생 시 화면에는 안전한 메시지, 로그에는 상세 원인이 남는다.",트러블슈팅에 중요,추가
96,S-096,시스템,전체,운영,모니터링,장애 모니터링,"서버, DB, 결제 API, 키오스크 장치 상태를 모니터링한다.",A: 서버 모니터링 / B: 장치 모니터링,P2,3차,장애 발생 시 관리자에게 알림이 생성된다.,AWS/CloudWatch 또는 로그 기반 가능,추가
97,S-097,시스템,전체,운영,백업,DB 백업/복구,"주문, 결제, 회원, 메뉴 데이터를 주기적으로 백업하고 복구 절차를 마련한다.",A: 정기 백업 / B: 복구 테스트,P2,3차,백업 파일이 생성되고 복구 절차 문서가 존재한다.,운영 안정성,추가
98,S-098,시스템,전체,개인정보,마스킹,개인정보 마스킹,"관리자 화면에서 휴대폰번호, 이메일, 주소 등 개인정보를 권한에 따라 마스킹한다.",A: 목록 마스킹 / B: 상세 권한 보기,P1,2차,직원 권한에서는 민감정보 전체가 노출되지 않는다.,고객/직원 정보 보호,추가
99,S-099,시스템,전체,개인정보,보관,개인정보 보관/삭제 정책,"회원 탈퇴, 주문 보관기간, 로그 보관기간을 정책에 따라 관리한다.",A: 보관 / B: 삭제·비식별,P2,3차,탈퇴 회원은 로그인 불가이며 불필요한 개인정보는 삭제 또는 비식별 처리된다.,회원 기능 확장 시 필요,추가
100,S-100,시스템,전체,API,세션/토큰,세션·토큰 만료 처리,관리자와 고객 인증 세션 또는 토큰에 만료 시간을 적용한다.,A: 사용자 세션 / B: 관리자 세션,P1,2차,만료된 토큰으로 API 호출 시 재로그인이 요구된다.,자동 로그인은 보안 요구와 균형 필요,추가
101,S-101,시스템,전체,API,장치인증,키오스크 장치 인증,"등록된 키오스크만 주문 생성, 결제 요청, 상태 전송 API를 사용할 수 있게 한다.",A: 장치ID / B: 장치토큰,P1,2차,미등록 장치의 API 요청은 차단된다.,키오스크 위조 요청 방지,추가
102,S-102,시스템,전체,운영,배포,운영/개발 환경 분리,"개발, 테스트, 운영 환경의 DB와 API 주소를 분리한다.",A: 개발 환경 / B: 운영 환경,P1,2차,운영 데이터가 개발 환경에서 임의로 수정되지 않는다.,AWS/Docker/CICD 적용 시 필요,추가
103,S-103,시스템,전체,운영,배포,무중단 또는 안전 배포,배포 시 서비스 중단을 최소화하고 실패하면 이전 버전으로 되돌릴 수 있게 한다.,A: 수동 배포 / B: CI/CD 배포,P2,3차,배포 실패 시 이전 버전으로 복구할 수 있다.,GitLab/Jenkins 확장 가능,추가
,,,,,,,,,91,,,,
